        Frequency / THz                Eps' (Fit)/real
               663.81384                      -1.6455419
               664.15411                      -1.6408993
               664.49451                      -1.6362855
               664.65491                      -1.6341209
               664.83484                      -1.6317004
               665.17523                       -1.627144
                665.5155                      -1.6226159
               665.85583                      -1.6181164
               666.19623                      -1.6136451
                666.5365                       -1.609202
               666.87689                      -1.6047871
               667.21722                      -1.6004002
               667.55756                      -1.5960411
               667.89789                      -1.5917099
               668.23828                      -1.5874063
               668.57788                      -1.5831393
               668.57855                      -1.5831304
               668.91895                      -1.5788819
               669.25928                      -1.5746608
               669.59961                       -1.570467
               669.93994                      -1.5663003
               670.28033                      -1.5621608
               670.62061                      -1.5580482
               670.96094                      -1.5539626
               671.30133                      -1.5499038
                671.6416                      -1.5458715
               671.98199                      -1.5418659
               672.32233                      -1.5378869
               672.52399                      -1.5355415
               672.66266                       -1.533934
               673.00299                      -1.5300076
               673.34338                      -1.5261073
               673.68365                       -1.522233
               674.02405                      -1.5183848
               674.36438                      -1.5145624
               674.70471                      -1.5107658
               675.04504                      -1.5069948
               675.38538                      -1.5032494
               675.72571                      -1.4995296
               676.06604                      -1.4958351
               676.40643                      -1.4921657
               676.49341                       -1.491232
                676.7467                      -1.4885217
                677.0871                      -1.4849026
               677.42743                      -1.4813086
               677.76776                      -1.4777393
               678.10809                      -1.4741949
               678.44849                      -1.4706751
               678.78876                      -1.4671799
               679.12915                      -1.4637092
               679.46948                      -1.4602628
               679.80981                      -1.4568408
               680.15015                      -1.4534428
               680.48621                      -1.4501112
               680.49048                       -1.450069
               680.83081                      -1.4467191
               681.17114                       -1.443393
               681.51154                      -1.4400908
               681.85181                      -1.4368122
                682.1922                      -1.4335572
               682.53253                      -1.4303255
               682.87286                      -1.4271173
                683.2132                      -1.4239324
               683.55359                      -1.4207708
               683.89386                      -1.4176321
               684.23425                      -1.4145163
               684.50262                      -1.4120755
               684.57458                      -1.4114236
               684.91492                      -1.4083536
               685.25525                      -1.4053062
               685.59558                      -1.4022814
               685.93591                      -1.3992791
               686.27625                      -1.3962992
               686.61664                      -1.3933417
               686.95691                      -1.3904063
                687.2973                       -1.387493
               687.63763                      -1.3846017
               687.97797                      -1.3817322
                688.3183                      -1.3788847
               688.54272                      -1.3770189
               688.65869                      -1.3760588
               688.99896                      -1.3732545
               689.33936                      -1.3704717
               689.67969                      -1.3677104
               690.02002                      -1.3649703
               690.36035                      -1.3622515
               690.70068                      -1.3595538
               691.04102                      -1.3568772
               691.38135                      -1.3542215
               691.72174                      -1.3515866
               692.06201                      -1.3489724
                692.4024                       -1.346379
               692.60669                      -1.3448322
               692.74274                       -1.343806
               693.08307                      -1.3412536
                693.4234                      -1.3387215
               693.76379                      -1.3362097
               694.10406                      -1.3337179
               694.44446                      -1.3312464
               694.78479                      -1.3287947
               695.12518                      -1.3263631
