        Frequency / THz                Eps'' (Fit)/real
               670.28033                       4.9870858
               670.62061                       4.9926991
               670.96094                       4.9982967
               671.30133                       5.0038791
                671.6416                       5.0094457
               671.98199                       5.0149965
               672.32233                       5.0205317
               672.52399                       5.0238042
               672.66266                       5.0260515
               673.00299                       5.0315557
               673.34338                       5.0370436
               673.68365                       5.0425162
               674.02405                       5.0479732
               674.36438                       5.0534139
               674.70471                       5.0588393
               675.04504                       5.0642486
               675.38538                       5.0696421
               675.72571                       5.0750194
               676.06604                       5.0803809
               676.40643                       5.0857267
               676.49341                         5.08709
                676.7467                       5.0910563
                677.0871                       5.0963697
               677.42743                       5.1016674
               677.76776                       5.1069489
               678.10809                       5.1122146
               678.44849                       5.1174641
               678.78876                       5.1226974
               679.12915                       5.1279144
               679.46948                       5.1331153
               679.80981                       5.1382999
               680.15015                       5.1434689
               680.48621                       5.1485567
               680.49048                       5.1486211
               680.83081                       5.1537571
               681.17114                       5.1588769
               681.51154                       5.1639805
               681.85181                       5.1690679
                682.1922                        5.174139
               682.53253                       5.1791935
               682.87286                       5.1842318
                683.2132                       5.1892538
               683.55359                       5.1942596
               683.89386                       5.1992488
               684.23425                       5.2042212
               684.50262                       5.2081313
               684.57458                       5.2091775
               684.91492                       5.2141175
               685.25525                       5.2190409
               685.59558                       5.2239475
               685.93591                        5.228838
               686.27625                       5.2337122
               686.61664                       5.2385693
               686.95691                       5.2434101
                687.2973                       5.2482347
               687.63763                       5.2530422
               687.97797                       5.2578335
                688.3183                       5.2626081
               688.54272                       5.2657471
               688.65869                       5.2673659
               688.99896                       5.2721071
               689.33936                       5.2768321
               689.67969                       5.2815399
               690.02002                       5.2862315
               690.36035                       5.2909064
               690.70068                       5.2955647
               691.04102                       5.3002062
               691.38135                        5.304831
               691.72174                       5.3094392
               692.06201                       5.3140302
                692.4024                       5.3186049
               692.60669                       5.3213429
               692.74274                        5.323163
               693.08307                       5.3277044
                693.4234                       5.3322291
               693.76379                       5.3367367
               694.10406                        5.341228
               694.44446                       5.3457022
               694.78479                       5.3501596
               695.12518                       5.3546004
               695.46545                       5.3590245
               695.80579                       5.3634319
               696.14612                       5.3678226
               696.48645                       5.3721962
               696.69464                       5.3748627
               696.82684                       5.3765535
               697.16711                       5.3808937
               697.50751                       5.3852172
               697.84784                       5.3895235
               698.18823                       5.3938136
                698.5285                       5.3980865
                698.8689                       5.4023428
               699.20917                       5.4065824
               699.54956                       5.4108052
               699.88989                       5.4150109
               700.23029                       5.4191999
               700.57056                       5.4233723
               700.80664                       5.4262571
               700.91089                       5.4275279
               701.25128                       5.4316664
               701.59155                       5.4357882
               701.93195                       5.4398932
               702.27222                       5.4439816
               702.61261                       5.4480534
               702.95294                       5.4521079
               703.29333                       5.4561458
               703.63361                       5.4601669
                 703.974                       5.4641714
               704.31433                       5.4681592
               704.65466                       5.4721298
               704.94305                        5.475481
                 704.995                       5.4760838
               705.33539                        5.480021
               705.67566                       5.4839416
               706.01599                       5.4878454
               706.35638                       5.4917326
               706.69666                       5.4956026
               707.03705                       5.4994559
               707.37738                        5.503293
               707.71771                        5.507113
               708.05804                       5.5109162
               708.39844                       5.5147028
               708.73871                       5.5184727
                709.0791                       5.5222259
               709.10382                       5.5224972
               709.41943                       5.5259624
               709.75977                       5.5296817
                710.1001                       5.5333848
               710.44049                       5.5370712
               710.78076                        5.540741
               711.12109                        5.544394
               711.46149                       5.5480304
               711.80176                         5.55165
               712.14215                        5.555253
               712.48248                       5.5588398
               712.82281                       5.5624094
               713.16315                       5.5659628
               713.28912                       5.5672731
               713.50354                       5.5694995
               713.84381                       5.5730195
                714.1842                       5.5765228
               714.52454                       5.5800099
               714.86487                       5.5834804
                715.2052                       5.5869341
               715.54559                       5.5903711
               715.88586                        5.593792
                716.2262                       5.5971966
               716.56659                        5.600584
               716.90686                       5.6039553
               717.24725                       5.6073103
               717.49908                       5.6097822
               717.58759                       5.6106486
               717.92792                       5.6139708
               718.26825                       5.6172762
               718.60864                       5.6205649
               718.94891                       5.6238379
               719.28931                       5.6270943
               719.62964                       5.6303339
               719.96997                       5.6335578
                720.3103                        5.636765
                720.6507                        5.639956
               720.99097                       5.6431303
                721.3313                       5.6462889
               721.67169                       5.6494308
               721.73395                       5.6500039
               722.01196                       5.6525564
               722.35236                       5.6556659
               722.69269                       5.6587591
               723.03302                       5.6618361
               723.37335                        5.664897
               723.71375                        5.667942
               724.05402                       5.6709704
               724.39441                       5.6739826
               724.73474                       5.6769791
               725.07507                       5.6799593
               725.41541                       5.6829233
                725.7558                       5.6858711
               725.99384                       5.6879234
               726.09607                       5.6888032
                726.4364                       5.6917191
               726.77679                       5.6946187
               727.11707                       5.6975026
               727.45746                       5.7003703
               727.79779                       5.7032223
               728.13812                       5.7060585
               728.47845                       5.7088785
               728.81885                       5.7116823
               729.15912                       5.7144709
               729.49951                       5.7172432
               729.83984                       5.7199998
               730.18024                       5.7227407
               730.27881                       5.7235317
               730.52051                       5.7254653
               730.86084                       5.7281747
               731.20117                       5.7308679
                731.5415                       5.7335458
                731.8819                       5.7362075
               732.22217                       5.7388539
               732.56256                       5.7414846
               732.90289                       5.7440996
               733.24329                       5.7466989
               733.58356                       5.7492824
               733.92395                       5.7518506
               734.26422                       5.7544031
               734.58911                        5.756825
               734.60461                       5.7569404
               734.94495                       5.7594619
               735.28534                       5.7619681
               735.62561                       5.7644587
               735.96594                       5.7669334
               736.30634                       5.7693934
               736.64661                       5.7718377
                 736.987                       5.7742667
               737.32727                         5.77668
               737.66766                       5.7790785
                 738.008                       5.7814612
               738.34839                       5.7838292
               738.68866                       5.7861814
                738.9248                       5.7878051
               739.02905                       5.7885189
               739.36938                       5.7908411
               739.70972                       5.7931476
               740.05005                       5.7954392
               740.39044                       5.7977161
               740.73071                       5.7999773
               741.07104                       5.8022242
               741.41144                       5.8044553
               741.75171                       5.8066716
                742.0921                       5.8088732
               742.43243                       5.8110595
               742.77277                        5.813231
                743.1131                       5.8153872
               743.28619                       5.8164783
               743.45349                       5.8175287
               743.79376                       5.8196559
               744.13416                       5.8217678
               744.47449                       5.8238649
               744.81482                       5.8259473
               745.15515                       5.8280149
               745.49554                       5.8300676
               745.83582                       5.8321056
               746.17615                       5.8341293
               746.51654                       5.8361378
               746.85681                       5.8381319
                747.1972                       5.8401117
               747.53754                       5.8420768
               747.67322                       5.8428559
               747.87787                       5.8440275
                748.2182                       5.8459635
               748.55859                       5.8478847
               748.89886                        5.849792
               749.23926                       5.8516846
               749.57959                       5.8535628
               749.91992                       5.8554268
               750.26025                       5.8572764
               750.60065                       5.8591113
               750.94092                       5.8609324
               751.28125                       5.8627391
               751.62164                       5.8645315
               751.96191                       5.8663101
               752.08612                       5.8669553
               752.30231                       5.8680739
               752.64264                       5.8698239
               752.98297                       5.8715601
                753.3233                        5.873282
                753.6637                       5.8749895
               754.00397                       5.8766832
               754.34436                       5.8783631
               754.68469                       5.8800287
               755.02502                        5.881681
               755.36536                       5.8833189
               755.70575                        5.884943
               756.04602                       5.8865533
               756.38635                       5.8881497
               756.52521                       5.8887968
               756.72675                       5.8897324
               757.06702                       5.8913012
               757.40741                       5.8928566
               757.74774                       5.8943982
               758.08807                        5.895926
               758.42841                       5.8974404
                758.7688                        5.898941
               759.10907                       5.9004283
               759.44946                       5.9019017
               759.78979                       5.9033618
